#z, Age, Age_sed, r_des, i_des, r_chft, i_chft
0.0 10000000000.0 10000000000.0 6.45515 6.09519 6.50284 6.12538
0.04 9451513929.45 9500000000.0 42.6729 42.3092 42.7255 42.3456
0.08 8953337321.33 9000000000.0 44.2262 43.862 44.2903 43.8908
0.12 8499238707.34 8500000000.0 45.1716 44.7649 45.2391 44.803
0.16 8083945028.02 8000000000.0 45.8437 45.4355 45.9264 45.4596
0.2 7702967433.4 7750000000.0 46.4052 45.9553 46.493 45.9822
0.24 7352463304.26 7250000000.0 46.8466 46.3608 46.935 46.3907
0.28 7029126073.62 7000000000.0 47.2588 46.738 47.3448 46.7726
0.32 6730096580.21 6750000000.0 47.6396 47.0754 47.7271 47.1134
0.36 6452891240.32 6500000000.0 47.9875 47.3815 48.0657 47.4286
0.4 6195343461.0 6250000000.0 48.2787 47.6589 48.386 47.7135
0.44 5955555555.56 6000000000.0 48.5721 47.9156 48.7184 47.9657
0.48 5731859047.74 5750000000.0 48.882 48.1434 49.0635 48.1927
0.52 5522781719.92 5500000000.0 49.1869 48.3561 49.3841 48.401
0.56 5327020117.08 5250000000.0 49.475 48.5506 49.6838 48.5945
0.6 5143416490.25 5250000000.0 49.8143 48.7808 50.0127 48.8293
0.64 4970939372.35 5000000000.0 50.067 48.9684 50.2612 49.0248
0.68 4808667141.77 4750000000.0 50.2867 49.1321 50.5023 49.2033
0.72 4655774055.79 4750000000.0 50.5633 49.3442 50.7892 49.4274
0.76 4511518335.15 4500000000.0 50.7785 49.4945 50.9526 49.5925
0.8 4375231960.0 4500000000.0 51.0569 49.7369 51.1625 49.8505
0.84 4246311899.69 4250000000.0 51.1827 49.929 51.3054 50.0515
0.88 4124212548.88 4000000000.0 51.3016 50.1167 51.4463 50.2383
0.92 4008439182.44 4000000000.0 51.5044 50.36 51.6624 50.4771
0.96 3898542274.05 4000000000.0 51.7182 50.5877 51.8651 50.7012
