# # xx, g_mean, g_median, r_mean, r_median
2.928627, 83.828212, 75.359494, 341.464235, 294.076263
8.785881, 24.047701, 22.062993, 86.479076, 78.562451
14.643134, 9.805551, 9.453162, 34.209451, 32.829115
20.500388, 5.146274, 5.101267, 17.674052, 17.414254
26.357642, 3.164025, 3.169392, 10.573875, 10.519494
32.214896, 2.059387, 2.055297, 6.789617, 6.756888
38.072150, 1.411791, 1.420588, 4.652290, 4.686683
43.929403, 1.015671, 1.042095, 3.369828, 3.475198
49.786657, 0.803340, 0.811883, 2.609265, 2.697058
55.643911, 0.633268, 0.644743, 2.091426, 2.197052
61.501165, 0.515535, 0.576587, 1.599374, 1.855261
67.358419, 0.440023, 0.483526, 1.371710, 1.570789
73.215672, 0.399832, 0.412892, 1.216424, 1.330986
79.072926, 0.361439, 0.362394, 1.099846, 1.169882
84.930180, 0.280923, 0.337134, 0.978444, 1.046226
90.787434, 0.219151, 0.306227, 0.877431, 0.957297
96.644688, 0.205335, 0.281498, 0.789597, 0.867143
102.501941, 0.235890, 0.252028, 0.691855, 0.796202
108.359195, 0.228037, 0.232871, 0.689018, 0.749749
114.216449, 0.197214, 0.209982, 0.653376, 0.694641
120.073703, 0.029800, 0.205029, 0.515520, 0.641225
125.930957, 0.058492, 0.188318, 0.461800, 0.597139
131.788210, 0.126297, 0.175288, 0.449494, 0.552829
137.645464, 0.131736, 0.167386, 0.437954, 0.517544
143.502718, 0.148809, 0.156573, 0.451927, 0.484622
149.359972, 0.149380, 0.153710, 0.427463, 0.458815
155.217226, 0.123144, 0.137264, 0.375865, 0.433901
161.074479, 0.138373, 0.133685, 0.383949, 0.413829
166.931733, 0.130380, 0.130045, 0.342073, 0.394874
172.788987, 0.114715, 0.120313, 0.310104, 0.384219
178.646241, 0.108180, 0.117754, 0.337171, 0.366509
184.503494, 0.021721, 0.119160, 0.307585, 0.346935
190.360748, 0.028677, 0.108276, 0.279406, 0.327620
196.218002, 0.096319, 0.101299, 0.284556, 0.307692
202.075256, 0.114196, 0.100097, 0.299221, 0.300307
207.932510, 0.108205, 0.097212, 0.288511, 0.296792
213.789763, 0.095096, 0.089130, 0.277328, 0.278607
219.647017, 0.092854, 0.087863, 0.280884, 0.280410
225.504271, 0.104760, 0.091370, 0.273817, 0.271654
231.361525, 0.097528, 0.089916, 0.256075, 0.271316
237.218779, 0.088578, 0.087475, 0.231269, 0.259535
243.076032, 0.079222, 0.085526, 0.231983, 0.244631
248.933286, 0.098609, 0.083758, 0.246215, 0.235519
254.790540, 0.102169, 0.082741, 0.247828, 0.233887
260.647794, 0.089974, 0.074856, 0.228239, 0.223033
266.505048, 0.070952, 0.069179, 0.199860, 0.220040
272.362301, 0.046735, 0.066837, 0.195722, 0.209054
278.219555, 0.027793, 0.066546, 0.184667, 0.200689
284.076809, 0.063990, 0.064699, 0.181150, 0.197163
289.934063, 0.043756, 0.056780, 0.137617, 0.188334
295.791317, 0.068089, 0.057438, 0.181355, 0.183647
301.648570, 0.066769, 0.055695, 0.190672, 0.184533
307.505824, 0.065961, 0.058004, 0.181829, 0.182750
313.363078, 0.057731, 0.052485, 0.174017, 0.176653
319.220332, 0.064001, 0.052355, 0.176700, 0.169632
325.077586, 0.058095, 0.050499, 0.160284, 0.165047
330.934839, 0.036844, 0.049634, 0.104161, 0.159757
336.792093, 0.039581, 0.044640, 0.128142, 0.158371
342.649347, 0.044693, 0.043259, 0.156683, 0.159091
348.506601, 0.036591, 0.046584, 0.168166, 0.160113
354.363854, 0.018753, 0.040695, 0.125618, 0.153448
360.221108, 0.028701, 0.040353, 0.141806, 0.146681
366.078362, 0.047867, 0.037289, 0.154470, 0.143566
371.935616, 0.050782, 0.037456, 0.155675, 0.146085
377.792870, 0.044895, 0.037372, 0.141225, 0.142380
383.650123, 0.040308, 0.035928, 0.130648, 0.136352
389.507377, 0.030452, 0.032124, 0.137263, 0.132777
395.364631, 0.030553, 0.033748, 0.148703, 0.132212
