#       num              flux       half_light_radius    bulge_flux       disc_flux        bulge_frac           g1               g2               x                y             offset_x         offset_y        noise_var     
               0   2.42321868e+01   5.19664938e-01   7.98085311e-02   4.18840374e-01   1.60049546e-01   3.41294876e-02  -5.55525490e-02   2.52353056e+01   2.50133511e+01   7.35305598e-01   5.13351122e-01   1.00000000e-03
               1   1.51975147e+01   3.83502926e-01   3.97449575e-02   5.74384989e-01   6.47175044e-02   3.41294876e-02  -5.55525490e-02   2.48812105e+01   2.37039081e+01   3.81210505e-01  -7.96091860e-01   1.00000000e-03
               2   1.45117534e+01   2.40330402e-01   5.76356353e+00   4.69483511e-01   9.24678330e-01   3.41294876e-02  -5.55525490e-02   2.48355082e+01   2.40536187e+01   3.35508195e-01  -4.46381318e-01   1.00000000e-03
               3   2.12047765e+01   3.32125073e-01   8.24444248e-02   3.99403834e-01   1.71100390e-01   3.41294876e-02  -5.55525490e-02   2.42546443e+01   2.53764172e+01  -2.45355689e-01   8.76417197e-01   1.00000000e-03
               4   3.88085638e+02   6.30535451e-01   7.63783499e-02   5.78777464e-01   1.16580435e-01   3.41294876e-02  -5.55525490e-02   2.48748588e+01   2.39285714e+01   3.74858778e-01  -5.71428609e-01   1.00000000e-03
               5   4.60716429e+01   1.60941937e-01   7.90319106e-02   1.73765658e-01   3.12629236e-01   3.41294876e-02  -5.55525490e-02   2.43576195e+01   2.53139722e+01  -1.42380476e-01   8.13972210e-01   1.00000000e-03
               6   1.73610221e+02   4.46742673e-01   1.18274300e+00   7.65691054e-01   6.07022340e-01   3.41294876e-02  -5.55525490e-02   2.41394698e+01   2.54895259e+01  -3.60530206e-01   9.89525940e-01   1.00000000e-03
               7   1.58913995e+02   4.07598642e-01   5.04221335e-03   7.78251906e-01   6.43719035e-03   3.41294876e-02  -5.55525490e-02   2.49111045e+01   2.53796569e+01   4.11104504e-01   8.79656885e-01   1.00000000e-03
               8   3.16877183e+01   5.80291023e-01   1.28189936e-01   2.48860783e-01   3.39980617e-01   3.41294876e-02  -5.55525490e-02   2.53568821e+01   2.49289957e+01   8.56882071e-01   4.28995666e-01   1.00000000e-03
               9   1.87271625e+01   1.71307260e-01   3.97892587e+00   8.70850486e-01   8.20434919e-01   3.41294876e-02  -5.55525490e-02   2.46888116e+01   2.40184072e+01   1.88811582e-01  -4.81592766e-01   1.00000000e-03
              10   2.80720841e+01   2.45099791e-01   4.95842842e-02   6.39331938e-01   7.19743310e-02   3.41294876e-02  -5.55525490e-02   2.37322633e+01   2.36672624e+01  -7.67736725e-01  -8.32737627e-01   1.00000000e-03
              11   1.26126628e+01   3.94478241e-01   1.02845784e-01   6.71589608e-01   1.32800987e-01   3.41294876e-02  -5.55525490e-02   2.54405663e+01   2.43399581e+01   9.40566260e-01  -1.60041882e-01   1.00000000e-03
              12   2.81845322e+01   8.58730845e-01   1.05572009e-01   2.70616742e-01   2.80635740e-01   3.41294876e-02  -5.55525490e-02   2.51799322e+01   2.41622734e+01   6.79932191e-01  -3.37726618e-01   1.00000000e-03
              13   2.83595414e+01   2.51524226e-01   6.42862481e-01   6.68564965e-01   4.90200570e-01   3.41294876e-02  -5.55525490e-02   2.45883017e+01   2.43333518e+01   8.83016991e-02  -1.66648191e-01   1.00000000e-03
              14   1.48821179e+01   2.00182465e-01   1.96660405e-02   3.04757358e-01   6.06184404e-02   3.41294876e-02  -5.55525490e-02   2.53924383e+01   2.47747316e+01   8.92438324e-01   2.74731580e-01   1.00000000e-03
              15   2.21944615e+01   4.79365863e-01   2.65529554e-02   8.52706554e-01   3.01992246e-02   3.41294876e-02  -5.55525490e-02   2.37719154e+01   2.37572493e+01  -7.28084607e-01  -7.42750749e-01   1.00000000e-03
              16   1.58624406e+01   2.23600246e-01   7.72933568e-01   9.83643939e-01   4.40022467e-01   3.41294876e-02  -5.55525490e-02   2.39713569e+01   2.47878622e+01  -5.28643139e-01   2.87862155e-01   1.00000000e-03
              17   9.73225281e+01   2.41164143e-01   2.18196417e-01   2.47167175e-01   4.68872986e-01   3.41294876e-02  -5.55525490e-02   2.45606934e+01   2.51209709e+01   6.06933767e-02   6.20970910e-01   1.00000000e-03
