# # xx, g_mean, g_median, r_mean, r_median
2.928627, 83.853272, 75.366230, 341.797852, 294.143876
8.785881, 24.056557, 22.076688, 86.505455, 78.588742
14.643134, 9.821506, 9.474737, 34.298724, 32.934382
20.500388, 5.166271, 5.118326, 17.750527, 17.487077
26.357642, 3.174805, 3.179475, 10.617077, 10.562807
32.214896, 2.066845, 2.061881, 6.815454, 6.786425
38.072150, 1.417170, 1.423852, 4.672078, 4.701774
43.929403, 1.016980, 1.043803, 3.379939, 3.485213
49.786657, 0.801825, 0.810634, 2.614015, 2.706599
55.643911, 0.634130, 0.645732, 2.098307, 2.201380
61.501165, 0.512160, 0.575263, 1.594784, 1.855190
67.358419, 0.418630, 0.481787, 1.309135, 1.571620
73.215672, 0.391350, 0.413121, 1.189803, 1.332199
79.072926, 0.360507, 0.361877, 1.100054, 1.171299
84.930180, 0.281039, 0.336091, 0.982805, 1.050453
90.787434, 0.220482, 0.306129, 0.881093, 0.961752
96.644688, 0.205963, 0.281973, 0.790747, 0.868415
102.501941, 0.236337, 0.252012, 0.695670, 0.798623
108.359195, 0.227285, 0.231688, 0.689907, 0.750150
114.216449, 0.197071, 0.209121, 0.656092, 0.695295
120.073703, 0.033883, 0.205255, 0.522892, 0.645528
125.930957, 0.062001, 0.188479, 0.469073, 0.600489
131.788210, 0.127641, 0.175695, 0.454261, 0.553880
137.645464, 0.131731, 0.167161, 0.440907, 0.516813
143.502718, 0.148958, 0.156025, 0.454173, 0.484406
149.359972, 0.149020, 0.152055, 0.429598, 0.459633
155.217226, 0.123500, 0.137269, 0.378644, 0.435823
161.074479, 0.138708, 0.133875, 0.386875, 0.416079
166.931733, 0.130624, 0.129552, 0.344343, 0.394975
172.788987, 0.114316, 0.119507, 0.310932, 0.384124
178.646241, 0.107052, 0.116383, 0.337940, 0.366478
184.503494, 0.022508, 0.118003, 0.309696, 0.347661
190.360748, 0.029377, 0.106814, 0.281579, 0.328063
196.218002, 0.095525, 0.099817, 0.286609, 0.308431
202.075256, 0.112330, 0.097839, 0.301921, 0.301918
207.932510, 0.106499, 0.095021, 0.291033, 0.297444
213.789763, 0.093851, 0.087241, 0.280044, 0.279548
219.647017, 0.091869, 0.086241, 0.283607, 0.281395
225.504271, 0.103442, 0.089694, 0.276376, 0.272684
231.361525, 0.096320, 0.088454, 0.257641, 0.271355
237.218779, 0.087390, 0.086157, 0.233340, 0.260489
243.076032, 0.079565, 0.084645, 0.236802, 0.247303
248.933286, 0.099049, 0.083077, 0.249928, 0.237247
254.790540, 0.101204, 0.081983, 0.250092, 0.235354
260.647794, 0.088643, 0.073247, 0.230850, 0.225006
266.505048, 0.069356, 0.067224, 0.201083, 0.219658
272.362301, 0.046875, 0.066410, 0.197959, 0.209870
278.219555, 0.027683, 0.065511, 0.187856, 0.201911
284.076809, 0.062281, 0.062610, 0.182182, 0.196760
289.934063, 0.041596, 0.053997, 0.137533, 0.187515
295.791317, 0.065475, 0.054997, 0.178828, 0.182479
301.648570, 0.065284, 0.054153, 0.188905, 0.183602
307.505824, 0.064646, 0.056489, 0.182502, 0.183105
313.363078, 0.056002, 0.050289, 0.174835, 0.177082
319.220332, 0.062456, 0.050406, 0.177965, 0.169806
325.077586, 0.055821, 0.048106, 0.160770, 0.164308
330.934839, 0.035232, 0.047533, 0.105402, 0.158834
336.792093, 0.037563, 0.042576, 0.126677, 0.155660
342.649347, 0.041584, 0.040373, 0.155283, 0.157688
348.506601, 0.034108, 0.044046, 0.166212, 0.157977
354.363854, 0.017737, 0.038992, 0.125695, 0.152073
360.221108, 0.026749, 0.037778, 0.142016, 0.145611
366.078362, 0.046350, 0.035574, 0.155117, 0.143127
371.935616, 0.049423, 0.035736, 0.156130, 0.145058
377.792870, 0.043056, 0.035452, 0.141353, 0.140825
383.650123, 0.038546, 0.033643, 0.129915, 0.134082
389.507377, 0.028864, 0.029786, 0.135454, 0.130344
395.364631, 0.028369, 0.031405, 0.146997, 0.129972
401.221885, 0.027554, 0.029201, 0.135232, 0.126676
407.079139, 0.026424, 0.026354, 0.114829, 0.120758
412.936392, 0.023094, 0.025969, 0.105061, 0.121962
418.793646, 0.015291, 0.027179, 0.095436, 0.120449
424.650900, 0.003951, 0.023640, 0.085131, 0.117755
430.508154, -0.000473, 0.026102, 0.073457, 0.113390
436.365408, 0.029712, 0.026515, 0.117505, 0.114011
442.222661, 0.031241, 0.024278, 0.124924, 0.117933
448.079915, 0.012791, 0.021465, 0.120603, 0.111441
453.937169, 0.018833, 0.024101, 0.095460, 0.104419
459.794423, 0.028878, 0.020147, 0.101835, 0.102276
465.651677, 0.035181, 0.017020, 0.107596, 0.101696
471.508930, 0.037990, 0.019885, 0.114899, 0.105584
477.366184, 0.015848, 0.016363, 0.090679, 0.101885
483.223438, -0.004757, 0.017009, 0.074107, 0.095138
489.080692, 0.014653, 0.012163, 0.085286, 0.093056
494.937946, 0.021762, 0.015501, 0.096210, 0.093848
500.795199, 0.021942, 0.016131, 0.092434, 0.091087
506.652453, 0.030896, 0.020526, 0.093766, 0.086579
512.509707, 0.022702, 0.022122, 0.093220, 0.088779
518.366961, 0.024760, 0.018740, 0.093504, 0.090497
524.224214, 0.029857, 0.019963, 0.086074, 0.091985
530.081468, 0.020204, 0.022155, 0.078437, 0.094189
535.938722, 0.009702, 0.019459, 0.064567, 0.087397
541.795976, 0.018340, 0.017415, 0.082911, 0.084288
547.653230, 0.036030, 0.023326, 0.105540, 0.091342
553.510483, 0.032607, 0.024301, 0.101552, 0.092428
559.367737, 0.022134, 0.017516, 0.084759, 0.089703
565.224991, 0.017316, 0.015977, 0.081632, 0.080288
571.082245, 0.025271, 0.020811, 0.089440, 0.080140
576.939499, 0.024642, 0.018275, 0.095967, 0.084447
582.796752, 0.029778, 0.018994, 0.097253, 0.086367
588.654006, 0.032111, 0.018452, 0.090068, 0.077172
594.511260, 0.027902, 0.015484, 0.079156, 0.079124
600.368514, 0.023028, 0.016610, 0.072277, 0.078756
606.225768, 0.008735, 0.014738, 0.060761, 0.075237
612.083021, 0.021721, 0.015024, 0.072675, 0.075045
617.940275, 0.022257, 0.015893, 0.063517, 0.071653
623.797529, 0.025646, 0.015506, 0.075111, 0.074499
629.654783, 0.022882, 0.015337, 0.084977, 0.071931
635.512037, 0.015556, 0.017987, 0.082192, 0.079170
641.369290, 0.018636, 0.019864, 0.086934, 0.073391
647.226544, 0.020033, 0.016035, 0.083033, 0.071370
653.083798, 0.014730, 0.013662, 0.062146, 0.071317
658.941052, 0.015490, 0.017977, 0.067246, 0.071436
664.798306, 0.016080, 0.017703, 0.079466, 0.075906
670.655559, 0.007566, 0.017403, 0.067368, 0.071905
676.512813, 0.000616, 0.017149, 0.050762, 0.069780
682.370067, -0.002063, 0.017783, 0.024942, 0.068628
688.227321, 0.005889, 0.017428, 0.047053, 0.066806
694.084574, -0.000970, 0.018110, 0.057338, 0.067843
699.941828, 0.030857, 0.019366, 0.066117, 0.066992
705.799082, 0.042050, 0.015359, 0.064920, 0.065376
711.656336, 0.019763, 0.017414, 0.046071, 0.063344
717.513590, 0.021345, 0.019100, 0.052085, 0.067463
723.370843, 0.025071, 0.013951, 0.073555, 0.066757
729.228097, 0.021937, 0.011749, 0.069608, 0.060925
735.085351, 0.006087, 0.016174, 0.054752, 0.063872
740.942605, 0.027145, 0.018651, 0.070559, 0.060235
746.799859, 0.022472, 0.016237, 0.072801, 0.062730
752.657112, 0.010022, 0.016909, 0.073477, 0.062356
758.514366, 0.012492, 0.020332, 0.071985, 0.061713
764.371620, -0.001657, 0.013684, 0.044621, 0.061822
